graph_1,graph_2
12,687
109,365
381,392
81,468
247,483
198,786
30,287
180,424
293,759
226,570
189,422
375,788
445,796
228,412
56,775
459,592
424,521
207,774
27,420
445,624
375,460
105,760
414,664
255,522
234,692
38,228
562,770
167,448
481,601
423,602
377,664
584,618
723,752
17,287
431,717
153,751
5,374
192,771
139,780
104,463
397,460
127,349
74,299
411,743
613,626
445,448
212,445
198,248
532,744
655,776
4,321
117,504
154,370
50,387
292,452
204,696
460,786
250,330
197,449
647,697
1,638
507,775
130,410
499,681
192,207
508,681
35,267
37,505
330,373
502,754
597,657
233,390
505,745
378,601
333,758
182,345
55,197
41,527
754,784
103,249
112,660
315,489
444,563
107,651
3,596
409,781
305,364
141,766
42,617
624,730
23,766
7,149
120,349
46,581
30,206
0,109
40,682
9,497
500,616
357,417
327,521
421,742
592,678
419,706
4,572
223,584
149,437
329,710
156,407
449,667
391,536
472,548
128,368
204,427
584,758
373,554
437,659
252,447
199,352
570,788
238,254
364,774
104,254
162,780
30,650
639,771
226,689
228,263
484,745
394,753
161,730
18,197
424,691
80,278
133,276
27,305
412,461
285,633
452,592
382,679
271,442
114,749
188,356
481,726
373,752
227,470
627,671
252,611
697,730
257,677
238,570
95,215
153,628
65,384
28,268
231,279
113,444
369,522
120,624
9,585
528,695
175,188
16,347
386,566
507,644
145,377
18,649
4,436
334,599
631,711
11,592
13,386
207,658
73,239
435,464
485,749
575,780
317,524
437,623
68,406
435,730
128,579
1,459
384,509
644,651
24,532
245,346
432,457
162,702
148,509
476,724
279,545
83,160
710,783
272,433
182,212
55,94
115,243
477,488
228,562
101,268
124,611
140,760
34,343
6,785
188,748
119,696
529,744
107,516
97,588
183,427
612,623
190,477
278,507
176,187
12,529
676,760
238,457
275,321
224,663
208,236
65,661
120,488
466,556
30,437
148,741
576,580
76,307
48,724
237,768
6,349
119,252
66,488
543,654
579,603
591,658
333,702
635,770
540,703
213,472
660,793
238,773
185,383
367,611
134,576
639,731
477,793
113,237
406,704
249,413
212,279
484,540
69,650
251,379
235,670
198,294
237,324
4,251
647,787
142,361
472,770
278,377
575,765
529,677
18,786
605,618
342,624
257,562
26,369
363,697
49,688
248,612
473,624
369,647
67,788
286,566
69,206
364,510
25,296
386,554
373,376
357,579
50,173
13,311
269,653
550,742
112,510
6,576
262,478
580,621
227,337
232,755
250,612
607,608
24,671
135,708
102,104
139,254
125,457
72,171
14,786
291,395
383,529
611,754
194,706
46,675
249,533
710,762
270,791
438,473
205,450
318,547
124,758
237,561
73,592
225,637
105,199
15,758
287,637
198,710
183,728
412,624
33,403
314,428
134,371
67,172
413,424
159,708
588,761
451,701
369,436
422,446
226,535
9,235
